theme_label,frequency,percent_of_total,representative_quotes,keywords,rank
[ideal_diet] healthy · diet · eat · fruits,108,87.1,organic/healthy. fruits and vegetables but still protein to give sustainance. | My ideal diet would be a healthy diet. I would eat meats and veggies. | my ideal diet would be more fruits and vegetables. Also less desserts.,"healthy, diet, eat, fruits, vegetables, protein, ideal, foods, ideal diet, like, food, fruits vegetables, veggies, carbs, meat",1
[eating_changes] eat · food · meals · healthy,92,76.67,"Huge changes have occurred. I eat far healthier, less processed food, less dense carbohydrates and way more vegetables and fruits. | They have gotten very bad. I eat a lot more food that I know I should not eat. | I eat a lot less and more junk food.","eat, food, meals, healthy, vegetables, foods, eating, lot, snack, time, ate, home, college, water, way",2
[food_childhood] pizza · chicken · spaghetti · steak,68,54.84,Pizza,"pizza, chicken, spaghetti, steak, potatoes, chocolate, rice, tacos, curry, mashed, mashed potatoes, grilled, chinese, potato, cheese",3
[comfort_food_reasons] boredom · happiness · sadness · hunger,50,40.65,"Boredom, happiness, distraught | happiness, hunger, sadness | sadness, happiness and hunger","boredom, happiness, sadness, hunger, sad, bored, stressed, loneliness, anger, laziness, stress, depression, usually, long, just",4
[meals_dinner_friend] pasta · chicken · pasta chicken · pizza,35,28.69,"Pasta, Croque Madam, chicken | burritos, pasta, chicken | pasta, chicken parm, tacos","pasta, chicken, pasta chicken, pizza, parm, chicken parm, chicken parmesan, parmesan, meat, dinner, salad, tacos, pizza pasta, lasagna, chicken pizza",5
[comfort_food] ice · ice cream · cream · chips,31,25.2,"Ice cream, cheeseburgers, chips. | Chips, ice cream | Chips, ice cream, microwaveable foods","ice, ice cream, cream, chips, chocolate, chips ice, cookies, pizza, cream chocolate, chocolate chips, fruit, cream chips, cream cake, pizza ice, cereal",6
[comfort_food] pizza · chicken · spaghetti · potatoes,23,18.7,"Chicken fingers, pizza | Chocolates, pizza, and Ritz. | Pizza, burritos, slim jims","pizza, chicken, spaghetti, potatoes, cheesecake, mashed, mashed potatoes, chips dip, dip, chips, wings, snacks, fries, pasta, fruit",7
[diet_current] dinner · usually · lunch · breakfast,22,17.74,"For breakfast I have oatmeal. For lunch I have a sandwich and fruit. For dinner I usually have a piece of meat, rice or pasta, and a vegetable. | My current diet is eggs and a meat every morning for breakfast. For lunch ill usually have some pasta or rice with a meat and sometimes a side of veggies. for dinner i usually eat less carbs and mo... | toast and fruit for breakfast, salad for lunch, usually grilled chicken and veggies (or some variation) for dinner","dinner, usually, lunch, breakfast, rice, veggies, meat, egan, fruit, oatmeal, lunch dinner, health, clean, sandwich, dining",8
[healthy_meal] veggies · chicken · chicken veggies · broccoli,20,16.13,"Chicken breast with veggies | Chicken and rice with a side of veggies. | Chicken, and veggies","veggies, chicken, chicken veggies, broccoli, rice, protein veggies, chicken broccoli, protein, fruit, milk, veggies carbs, grains, carbs, water, fruits",9
[healthy_meal] vegetables · fruits vegetables · fruits · protein,19,15.32,"a lean protein plus the addition of 2-3 fruits and vegetables | Has fruits vegetables and or some type of meat | Fruits, vegetables, meat","vegetables, fruits vegetables, fruits, protein, lean, lean protein, meat, grains, protein vegetables, complex, plenty, fresh fruits, fresh, starch, lean meat",10
[healthy_meal] salad · chicken · vegetables · chicken vegetables,18,14.52,A pice of meat such as chicken with a side of vegetables and possibly a salad | Salad with chicken and vegetables with a raspberry vinaigrette | a salad with chicken and 2 tablespoons of salad dressing,"salad, chicken, vegetables, chicken vegetables, fruit, dressing, chicken salad, fruit vegetables, salad chicken, vegetables fruit, proper, grilled, broccoli, veg, meat",11
[comfort_food] cheese · mac · mac cheese · cheese pizza,17,13.82,"mac and cheese | Mac n Cheese. Chips and salsa. Ice cream. | pizza, pasta, mac and cheese","cheese, mac, mac cheese, cheese pizza, pizza, french fries, french, ice cream, cream, fries, ice, cheese ice, chicken, brownies, pasta",12
[healthy_meal] vegetable · meat · rice · fruit,17,13.71,"Including both vegetable and meat | Rice, Meat, vegetable | a meal with a meat, vegetable, grain, and fruit","vegetable, meat, rice, fruit, protein, grain, protein vegetable, meat vegetable, grains, vegetable grains, protein fruit, meal, vegetable grain, salad, vegetable fruit",13
[meals_dinner_friend] rice · chicken rice · chicken · meat rice,17,13.93,"chipotle, chick fil a, chicken and rice | chicken, manicotti, rice | Pizza, Chicken and rice and pasta","rice, chicken rice, chicken, meat rice, meat, veggies, vegetables, pasta, rice chicken, pizza chicken, pizza, curry, crackers, asparagus, food",14
[meals_dinner_friend] steak · chicken · steak chicken · spaghetti,17,13.93,"Steak, lobster, chicken | Pasta,Sushi,Steak | Spaghetti, steak, or chicken","steak, chicken, steak chicken, spaghetti, lasagna, steak spaghetti, pasta steak, spaghetti steak, pasta, salmon, noodles, pork, beef, pizza, steak pizza",15
[comfort_food_reasons] boredom,16,13.01,Boredom,boredom,16
[diet_current] fruits vegetables · vegetables · fruits · high,16,12.9,"High protein and high carbs with fruits and vegetables as needed | High in carbs, but I have recently tried to cut down on fats, salt, and sugars. I choose more organic options as well as more fruits and vegetables. | Healthy, includes many fruits and vegetables. Probably too many carbs.","fruits vegetables, vegetables, fruits, high, high protein, protein, proteins, carbs, healthy, low, foods, diet, diet consists, consists, vegetables meal",17
[healthy_meal] food · food groups · groups · lots,16,12.9,"All food groups | Modest proportions of many different food groups. | All of the food groups(carbs, veggies, fruits,etc)","food, food groups, groups, lots, colors, food group, group, foods, fruits, pyramid, food pyramid, portions, color, main, main food",18
[diet_current] healthy · food · unhealthy · healthy diet,15,12.1,"I eat a very healthy diet. Ocassionally, i will eat out and get unhealthy food. | Most healthy diet, but since I'm an athlete have room for some bad foods to burn off quickly | A very healthy diet. Avoiding junk foods, and any white breads.","healthy, food, unhealthy, healthy diet, foods, diet, eat, healthy food, somewhat, junk, light, fat, eat unhealthy, unhealthy food, try",19
[diet_current] diet · eat · diet eat · good,14,11.29,"My diet is mostly whatever I get to eat in the grotto commons. Sometimes, I eat outside | I don't follow a diet, I eat whatever I want | My current diet would be considered a ""college diet"". I eat a lot of pizza and ramen noodles.","diet, eat, diet eat, good, college, eat want, want, better, college diet, basis, daily, intake, hard, current diet, current",20
[diet_current] eat healthy · healthy · eat · try,14,11.29,I eat very healthy | Try to eat as healthy as possible. A few days where fast food comes into play because of classes. | I try to eat as healthy as possible. 3 meals a day that are well-balanced.,"eat healthy, healthy, eat, try, try eat, possible, food, day, healthy possible, times, fast food, fast, eat times, time, week",21
[comfort_food_reasons] boredom sadness · sadness · boredom · anxiety,13,10.57,"Boredom!, sadness | Boredom, sadness | boredom, sadness","boredom sadness, sadness, boredom, anxiety, friends, hungry, anger, taste, good",22
[food_childhood] pasta · pizza · pasta pizza · rice,13,10.48,"Pasta, Eggs, Pancakes | Pasta | pasta","pasta, pizza, pasta pizza, rice, pizza pasta, soup, garlic, meatballs, chicken, chicken fingers, fingers, steak",23
