id,name,city,state,country,brewery_type
5128df48-79fc-4f0f-8b52-d06be54d0cec,(405) Brewing Co,Norman,Oklahoma,United States,micro
9c5a66c8-cc13-416f-a5d9-0a769c87d318,(512) Brewing Co,Austin,Texas,United States,micro
34e8c68b-6146-453f-a4b9-1f6cd99a5ada,1 of Us Brewing Company,Mount Pleasant,Wisconsin,United States,micro
6d14b220-8926-4521-8d19-b98a2d6ec3db,10 Barrel Brewing Co,Bend,Oregon,United States,large
e2e78bd8-80ff-4a61-a65c-3bfbd9d76ce2,10 Barrel Brewing Co,Bend,Oregon,United States,large
e432899b-7f58-455f-9c7b-9a6e2130a1e0,10 Barrel Brewing Co,Portland,Oregon,United States,large
ef970757-fe42-416f-931d-722451f1f59c,10 Barrel Brewing Co,San Diego,California,United States,large
9f1852da-c312-42da-9a31-097bac81c4c0,10 Barrel Brewing Co - Bend Pub,Bend,Oregon,United States,large
ea4f30c0-bce6-416b-8904-fab4055a7362,10 Barrel Brewing Co - Boise,Boise,Idaho,United States,large
1988eb86-f0a2-4674-ba04-02454efa0d31,10 Barrel Brewing Co - Denver,Denver,Colorado,United States,large
1ecc330f-6275-42a5-b14e-00adbed62752,10 Torr Distilling and Brewing,Reno,Nevada,United States,micro
7531dbd8-afc9-4b5b-95bc-7ece7f2c0bf3,10-56 Brewing Company,Knox,Indiana,United States,micro
5ae467af-66dc-4d7f-8839-44228f89b596,101 North Brewing Company,Petaluma,California,United States,closed
4ffda196-dd59-44a5-9eeb-5f7fd4b58f5a,105 West Brewing Co,Castle Rock,Colorado,United States,micro
42aa37d5-8384-4ffe-8c81-7c982eff0384,10K Brewing,Anoka,Minnesota,United States,micro
232e8f62-9afc-45f5-b4bc-582c26b5c43b,10th District Brewing Company,Abington,Massachusetts,United States,micro
08f78223-24f8-4b71-b381-ea19a5bd82df,11 Below Brewing Company,Houston,Texas,United States,micro
58293321-14ae-49d7-9a7b-08436c9e63a6,1188 Brewing Co,John Day,Oregon,United States,brewpub
d81ff708-b5d2-478f-af6a-6d40f5beb9ac,12 Gates Brewing Company,Williamsville,New York,United States,brewpub
fb94830f-6196-4f59-9189-c9060b778085,12 West Brewing Company,Gilbert,Arizona,United States,micro
0faa0fb2-fffa-416d-9eab-46f67477c8ef,12 West Brewing Company - Production Facility,Mesa,Arizona,United States,micro
e54c2f02-acd6-4172-861d-fcfa54c8701a,122 West Brewing Co,Bellingham,Washington,United States,closed
d5cb896d-3e99-4e19-9693-5e06ce987e53,127 Brewing,Jackson,Michigan,United States,micro
06e9fffb-e820-45c9-b107-b52b51013e8f,12Degree Brewing,Louisville,Colorado,United States,brewpub
50521ef7-f543-4c5d-98b1-0d0ee1a2be01,12welve Eyes Brewing,Saint Paul,Minnesota,United States,micro
950180bd-29c9-46b3-ad0c-e6f09799ec7f,13 Below Brewery,Cincinnati,Ohio,United States,micro
45119c56-345b-4adc-b481-c5cf7bfe98c4,13 Stripes Brewery,Taylors,South Carolina,United States,brewpub
936c3d7e-5d54-4459-b72c-117cdda059b4,13 Virtues Brewing Co,Portland,Oregon,United States,brewpub
5c53b314-ebab-4e3e-89be-e4139d9318ae,1323 R & D,Raleigh,North Carolina,United States,micro
4788221a-a03b-458c-9084-4cadd69ade6d,14 Cannons Brewing Company,Westlake Village,California,United States,micro
b7b68d22-5045-4501-b9bf-ec94946eaffc,14 Lakes Brewery,Crosslake,Minnesota,United States,micro
4b677b60-fef1-42e2-90ef-dadc1bd7fb06,14er Brewing Company,Denver,Colorado,United States,proprietor
6c53984f-fac1-4ea7-9c44-44e25897c71a,14th Star Brewing,Saint Albans,Vermont,United States,micro
85192a9c-58a4-48c3-bd9d-496d09d22aa3,16 Lots Brewing,Mason,Ohio,United States,brewpub
284b44f8-6ccb-4cd6-8d06-f2ad882a47c3,16 Mile Brewing Co,Georgetown,Delaware,United States,micro
ee6d39c6-092f-4623-8099-5b8643f70dbe,16 Stone Brewpub,Holland Patent,New York,United States,brewpub
d35b40b0-a3ff-4878-a6ee-9caa2149b521,1623 Brewing Company,Eldersburg,Maryland,United States,brewpub
84bd3b3c-bd2d-4e07-bc31-b43a8c8ebf4c,1717 Brewing Co,Des Moines,Iowa,United States,micro
f41a0c47-ba9b-4547-bfed-fcbefe0fc74b,1718 Ocracoke Brewing,Ocracoke,North Carolina,United States,brewpub
84d621c4-81a5-44e6-aca7-1566c2e67cc0,1781 Brewing Company,Spotsylvania,Virginia,United States,micro
896f26a1-d80e-4790-9287-026a86c1799d,180 and Tapped,Coraopolis,Pennsylvania,United States,micro
31935dfe-87ab-4b3c-b845-1347e78f3d98,1812 Brewery,Cumberland,Maryland,United States,micro
46839a79-b7bf-4733-b91b-ce116d062a57,1817 Brewery,okolona,Mississippi,United States,micro
1a1b2165-73ed-40aa-b89b-56794d140f22,1840 Brewing Company,Milwaukee,Wisconsin,United States,micro
fe6b9893-b93e-43d5-a9f6-3e0c89a3f13c,1850 Brewing Company,Mariposa,California,United States,micro
b51f3cdf-60ff-4ae1-94a7-76906c7d62eb,18th Street Brewery,Gary,Indiana,United States,micro
add7f978-942e-4d56-b209-c80837a51d69,18th Street Brewery,Hammond,Indiana,United States,micro
dbde8235-2b55-4d8b-8b1c-438155abe104,1905 Brewing Company,Assumption,Illinois,United States,micro
4f4b5b34-d572-4dff-a18f-47e507c073e6,1912 Brewing,Tucson,Arizona,United States,micro
4ccad9b9-f9cf-4d21-b6d5-ab005ee1532d,192 Brewing,Kenmore,Washington,United States,micro
4a09f017-db8f-42e1-a8ec-a0cd81c28761,1940's Brewing Company,Holbrook,New York,United States,micro
4dcaeaa3-d7cc-4016-9392-5bde4e3a8f4d,1st Republic Brewing Co,Essex Junction,Vermont,United States,micro
9046adec-ed04-4c60-8043-4a02e9e2dabc,2 Basset Brewery,White Sulphur Springs,Montana,United States,micro
8436b02b-9a06-474c-b5eb-8ff9aedf1f99,2 Dogz and A Guy Brewing,Montrose,Pennsylvania,United States,micro
2005a2bb-0f89-4520-8553-f79cf0b4c909,2 Feet Brewing Company,Bangor,Maine,United States,brewpub
6948c755-a504-42f9-88e8-d04d027731e5,2 Row Brewing,Midvale,Utah,United States,micro
fb2460bb-d6bb-4690-a700-f0b5628cc7dd,2 Silos Brewing Company,Manassas,Virginia,United States,micro
836cb05e-ee8f-4798-859e-fe0bedb0186a,2 Tones Brewing Co.,Whitehall,Ohio,United States,micro
5ec3b488-48bd-49a7-9828-05bd90195cd5,2 Tread Brewing Co,Santa Rosa,California,United States,brewpub
8624d11b-8593-49a8-89b4-c46a0f111cd7,2 Way Brewing Company,Beacon,New York,United States,brewpub
5cda93ce-6b16-4374-9d43-bb4383be0187,2 Witches Winery and Brewing Company,Danville,Virginia,United States,micro
64a48d9e-08e9-45e3-83ca-f00d24bb7e49,20 Corners Brewing LLC,Woodinville,Washington,United States,brewpub
c018299b-db2d-438b-b58c-ecaa0f07a0df,210 Brewing Co,Arlington,Washington,United States,brewpub
00fdce16-e1dd-4678-87f2-45550f9083e1,212 Brewing Company,Davenport,New York,United States,contract
46a8ed58-5d1a-413e-871e-d2d29d6d43f0,217 Brew Works,Wilson,North Carolina,United States,micro
63baab9a-b561-4eff-8619-f95290a61b77,21st Amendment Brewery,San Leandro,California,United States,regional
8f9621dc-da98-4ddb-82a1-039c9e2b3224,21st Amendment Brewery Cafe,San Francisco,California,United States,brewpub
84337872-75da-4cdd-9f8f-1e1691f21642,21st St Brewers Bar,Saint Louis,Missouri,United States,brewpub
2711c5ad-83cb-4917-932e-b8bbf1a25ffb,23 Brewing Company / Lizzie B's Cafe,Prestonsburg,Kentucky,United States,brewpub
e05dc493-284f-4ece-995e-19899398f077,238 Brewing Company,Mead,Washington,United States,closed
29c73154-9117-4f27-98e1-b5bb5f69c055,23rd Ave Brewery,Seattle,Washington,United States,micro
c70c8ad5-4bfa-4b2a-a383-7e7d15e0baf9,23rd Street Brewery,Lawrence,Kansas,United States,brewpub
6751228c-5373-4a54-8d68-72df6849a437,26 Degree Brewing Company,Pompano Beach,Florida,United States,micro
d6e77d51-2fa2-44cb-89b3-c94bf1dc77df,28th State Brewing,Houston,Texas,United States,planning
7d13ee75-e7e3-4623-862a-43a18dd6a1ae,2C Family Brewing Co.,Nampa,Idaho,United States,micro
5fdcc498-f9df-4fa5-b35d-487a59f0fecc,2Kids Brewing Company,San Diego,California,United States,micro
be0ec266-d637-42e4-94ba-4ce21e456054,2nd Shift Brewing Co,Saint Louis,Missouri,United States,brewpub
fb8eee34-da8a-42b2-bc4c-77020024a7f0,2nd Story Brewing Company,Philadelphia,Pennsylvania,United States,brewpub
3cf2698f-4193-4591-aab3-a8ef0fbedcab,2SP Brewing Company,Aston,Pennsylvania,United States,micro
9fdb80f1-a96f-4dc4-80a2-5b0d9a246916,3 Beards Beer Company,Williamsburg,Massachusetts,United States,contract
065200ec-51cf-4612-b1b9-61f7db489c3c,3 Daughters Brewing,Saint Petersburg,Florida,United States,micro
60c00c0b-b797-4f6a-b442-3bfbaec156ca,3 Disciples Brewing,Sebastopol,California,United States,micro
a1887b5a-0c21-43cf-9547-527b7c11dcf4,3 Freaks Brewing Co,Highlands Ranch,Colorado,United States,micro
a74744eb-ca98-43c5-9199-09df39f8b400,3 Iron Brewing Company,Colton,California,United States,micro
1218736c-bfcf-4b95-b473-7399aaf60d1d,"3 Keys Brewing Company, LLC",Bradenton,Florida,United States,brewpub
ed387340-ea78-4f65-9de0-15e2da50371e,3 Nations Brewing,Farmers Branch,Texas,United States,micro
a8fda9a9-026b-4b15-86b9-62b4ccb126c1,3 Sheeps Brewing Co,Sheboygan,Wisconsin,United States,micro
5595bb24-e2b8-4a6e-9f0b-451fac8dd903,3 Sheets Brewery,Albany,Oregon,United States,micro
e2ddeea8-03d4-43e7-bfd0-d27797b9d016,3 Sons Brewing Co.,Dania,Florida,United States,proprietor
bd8b76ca-a70a-4363-96cb-24f1d0118a74,3 Stars Brewing Co,Washington,District of Columbia,United States,closed
cb56e27e-d113-4f74-925a-69305a56d082,3 Trails Brewing Co,Independence,Missouri,United States,micro
6c5dabed-6a59-4610-abc9-b1e958393186,30 Mile Brewing Co.,Old Saybrook,Connecticut,United States,closed
2f6062af-4d6f-42b2-b4ad-626cf01a1fec,300 Suns Brewing Company,Longmont,Colorado,United States,brewpub
3b0b5b9b-f6d8-49e3-8ebd-0bcef6939bcd,32 North Brewing Co,San Diego,California,United States,brewpub
a964a343-e4f1-40d8-9353-09ef9b74f513,34 Degree North Experiment Station,Shallotte,North Carolina,United States,micro
